,Unnamed: 0,Unnamed: 0.1,French,English
0,0,0,partie,part
1,1,1,histoire,history
2,2,2,chercher,search
3,3,3,seulement,only
4,4,4,police,police
5,5,5,pensais,thought
6,6,6,aide,help
7,7,7,demande,request
8,8,8,genre,kind
9,9,9,mois,month
10,10,10,frère,brother
11,12,12,car,because
12,13,13,mettre,to put
13,14,14,aucun,no
14,15,15,eux,them
15,16,16,ville,city
16,17,17,chaque,each
17,18,18,parlé,speak
18,19,19,arrivé,come
19,20,20,devrait,should
20,21,21,bébé,baby
21,22,22,longtemps,long time
22,23,23,heures,hours
23,24,24,vont,will
24,25,25,pendant,while
25,26,26,revoir,meet again
26,27,27,aucune,any
27,28,28,place,square
28,29,29,parle,speak
29,30,30,compris,understood
30,31,31,savais,knew
31,32,32,étaient,were
32,33,33,attention,Warning
33,34,34,voici,here is
34,35,35,pourrais,could
35,36,36,affaire,case
36,37,37,donner,give
37,38,40,train,train
38,39,41,corps,body
39,40,42,endroit,place
40,41,43,yeux,eyes
41,42,44,façon,way
42,43,45,écoute,listen
43,44,46,dont,whose
44,45,47,trouve,find
45,46,48,premier,first
46,47,49,perdu,lost
47,48,50,main,hand
48,49,51,première,first
49,50,52,côté,side
50,51,53,pouvoir,power
51,52,54,vieux,old
52,53,55,sois,be
53,54,56,tiens,here
54,55,57,matin,morning
55,56,58,tellement,so much
56,57,59,point,point
57,58,60,suite,after
58,59,61,pardon,sorry
59,60,62,venez,come
60,61,64,vers,towards
61,62,65,minutes,minutes
62,63,66,demandé,request
63,65,68,mis,placed
64,66,69,belle,beautiful
65,67,70,droit,law
66,68,71,aimerais,would like to
67,69,72,aujourd'hui,today
68,70,73,mari,husband
69,71,74,cause,cause
70,72,75,enfin,finally
71,73,76,espère,hope
72,74,77,eau,water
73,75,78,attendez,Wait
74,76,79,parti,left
75,77,80,nouvelle,new
76,78,81,boulot,job
77,79,82,arrêter,Stop
78,80,83,dirait,would say
79,81,84,terre,Earth
80,82,85,compte,account
81,83,86,donne,given
82,84,87,fin,end
83,85,88,croire,believe
84,86,89,chérie,sweetheart
85,87,90,gros,large
86,88,91,plutôt,rather
87,89,92,aura,will have
88,90,93,filles,girls
89,91,94,jouer,to play
90,92,95,bureau,office
